Nov. 16, 2023   13:32:40
Cyclic Voltammetry
File: c:\users\dell\desktop\1116\o2-¿ì.txt
Data Source:  Experiment
Instrument Model:  CHI600B
Header: 
Note: 

Init E (V) = 0.65
High E (V) = 1.3
Low E (V) = -0.31
Init P/N = N
Scan Rate (V/s) = 0.1
Segment = 10
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 5e-6

Segment 1:

Segment 2:
Segment 3:
Ep = 0.281V
ip = 2.250e-5A
Ah = 2.112e-5C

Ep = -0.067V
ip = 6.895e-6A
Ah = 2.369e-6C

Segment 4:
Segment 5:
Ep = 0.305V
ip = 2.202e-5A
Ah = 1.795e-5C

Segment 6:

Segment 7:
Ep = 0.309V
ip = 2.082e-5A
Ah = 1.678e-5C

Segment 8:
Segment 9:
Ep = 0.304V
ip = 2.087e-5A
Ah = 1.769e-5C

Segment 10:

Potential/V, Current/A, Charge/C

Segment 1:
0.649, 1.426e-7, 1.426e-9
0.648, 1.856e-7, 3.282e-9
0.647, 1.447e-7, 4.729e-9
0.646, 1.539e-7, 6.268e-9
0.645, 1.133e-7, 7.401e-9
0.644, 1.461e-7, 8.861e-9
0.643, 1.414e-7, 1.028e-8
0.642, 1.980e-7, 1.226e-8
0.641, 2.036e-7, 1.429e-8
0.640, 2.306e-7, 1.660e-8
0.639, 2.921e-7, 1.952e-8
0.638, 2.648e-7, 2.216e-8
0.637, 3.199e-7, 2.536e-8
0.636, 2.644e-7, 2.801e-8
0.635, 3.031e-7, 3.104e-8
0.634, 2.386e-7, 3.342e-8
0.633, 2.284e-7, 3.571e-8
0.632, 2.110e-7, 3.782e-8
0.631, 1.783e-7, 3.960e-8
0.630, 2.300e-7, 4.190e-8
0.629, 2.368e-7, 4.427e-8
0.628, 2.988e-7, 4.726e-8
0.627, 3.056e-7, 5.031e-8
0.626, 3.617e-7, 5.393e-8
0.625, 3.482e-7, 5.741e-8
0.624, 3.657e-7, 6.107e-8
0.623, 3.237e-7, 6.431e-8
0.622, 3.344e-7, 6.765e-8
0.621, 2.886e-7, 7.054e-8
0.620, 2.920e-7, 7.346e-8
0.619, 2.515e-7, 7.597e-8
0.618, 2.812e-7, 7.878e-8
0.617, 2.711e-7, 8.149e-8
0.616, 2.970e-7, 8.446e-8
0.615, 3.605e-7, 8.807e-8
0.614, 3.208e-7, 9.128e-8
0.613, 4.169e-7, 9.545e-8
0.612, 3.866e-7, 9.931e-8
0.611, 4.501e-7, 1.038e-7
0.610, 3.856e-7, 1.077e-7
0.609, 3.957e-7, 1.116e-7
0.608, 3.756e-7, 1.154e-7
0.607, 3.193e-7, 1.186e-7
0.606, 3.245e-7, 1.218e-7
0.605, 2.998e-7, 1.248e-7
0.604, 3.526e-7, 1.283e-7
0.603, 3.596e-7, 1.319e-7
0.602, 4.204e-7, 1.361e-7
0.601, 4.258e-7, 1.404e-7
0.600, 4.870e-7, 1.453e-7
0.599, 4.684e-7, 1.500e-7
0.598, 4.923e-7, 1.549e-7
0.597, 4.509e-7, 1.594e-7
0.596, 4.622e-7, 1.640e-7
0.595, 4.202e-7, 1.682e-7
0.594, 4.247e-7, 1.725e-7
0.593, 3.867e-7, 1.763e-7
0.592, 4.145e-7, 1.805e-7
0.591, 4.410e-7, 1.849e-7
0.590, 4.089e-7, 1.890e-7
0.589, 4.921e-7, 1.939e-7
0.588, 4.629e-7, 1.985e-7
0.587, 5.644e-7, 2.042e-7
0.586, 5.380e-7, 2.095e-7
0.585, 5.831e-7, 2.154e-7
0.584, 5.808e-7, 2.212e-7
0.583, 5.343e-7, 2.265e-7
0.582, 5.360e-7, 2.319e-7
0.581, 4.805e-7, 2.367e-7
0.580, 4.829e-7, 2.415e-7
0.579, 4.546e-7, 2.461e-7
0.578, 5.098e-7, 2.512e-7
0.577, 5.200e-7, 2.564e-7
0.576, 5.801e-7, 2.622e-7
0.575, 5.934e-7, 2.681e-7
0.574, 6.523e-7, 2.746e-7
0.573, 6.454e-7, 2.811e-7
0.572, 6.715e-7, 2.878e-7
0.571, 6.422e-7, 2.942e-7
0.570, 6.528e-7, 3.007e-7
0.569, 6.189e-7, 3.069e-7
0.568, 6.291e-7, 3.132e-7
0.567, 6.277e-7, 3.195e-7
0.566, 5.521e-7, 3.250e-7
0.565, 6.456e-7, 3.315e-7
0.564, 5.868e-7, 3.373e-7
0.563, 6.923e-7, 3.443e-7
0.562, 6.472e-7, 3.507e-7
0.561, 7.445e-7, 3.582e-7
0.560, 7.905e-7, 3.661e-7
0.559, 7.906e-7, 3.740e-7
0.558, 8.185e-7, 3.822e-7
0.557, 7.849e-7, 3.900e-7
0.556, 7.975e-7, 3.980e-7
0.555, 7.605e-7, 4.056e-7
0.554, 7.629e-7, 4.132e-7
0.553, 7.198e-7, 4.204e-7
0.552, 7.531e-7, 4.280e-7
0.551, 7.429e-7, 4.354e-7
0.550, 7.993e-7, 4.434e-7
0.549, 8.100e-7, 4.515e-7
0.548, 8.639e-7, 4.601e-7
0.547, 8.771e-7, 4.689e-7
0.546, 9.330e-7, 4.782e-7
0.545, 9.340e-7, 4.876e-7
0.544, 9.656e-7, 4.972e-7
0.543, 9.828e-7, 5.071e-7
0.542, 9.211e-7, 5.163e-7
0.541, 1.009e-6, 5.264e-7
0.540, 8.949e-7, 5.353e-7
0.539, 9.702e-7, 5.450e-7
0.538, 8.582e-7, 5.536e-7
0.537, 9.152e-7, 5.627e-7
0.536, 9.477e-7, 5.722e-7
0.535, 9.706e-7, 5.819e-7
0.534, 1.042e-6, 5.923e-7
0.533, 1.078e-6, 6.031e-7
0.532, 1.143e-6, 6.146e-7
0.531, 1.142e-6, 6.260e-7
0.530, 1.172e-6, 6.377e-7
0.529, 1.149e-6, 6.492e-7
0.528, 1.160e-6, 6.608e-7
0.527, 1.123e-6, 6.720e-7
0.526, 1.131e-6, 6.833e-7
0.525, 1.095e-6, 6.943e-7
0.524, 1.123e-6, 7.055e-7
0.523, 1.132e-6, 7.168e-7
0.522, 1.185e-6, 7.287e-7
0.521, 1.201e-6, 7.407e-7
0.520, 1.265e-6, 7.533e-7
0.519, 1.319e-6, 7.665e-7
0.518, 1.314e-6, 7.797e-7
0.517, 1.439e-6, 7.941e-7
0.516, 1.359e-6, 8.077e-7
0.515, 1.471e-6, 8.224e-7
0.514, 1.349e-6, 8.359e-7
0.513, 1.414e-6, 8.500e-7
0.512, 1.299e-6, 8.630e-7
0.511, 1.307e-6, 8.761e-7
0.510, 1.358e-6, 8.896e-7
0.509, 1.394e-6, 9.036e-7
0.508, 1.488e-6, 9.185e-7
0.507, 1.551e-6, 9.340e-7
0.506, 1.628e-6, 9.503e-7
0.505, 1.641e-6, 9.667e-7
0.504, 1.674e-6, 9.834e-7
0.503, 1.650e-6, 9.999e-7
0.502, 1.652e-6, 1.016e-6
0.501, 1.606e-6, 1.032e-6
0.500, 1.600e-6, 1.048e-6
0.499, 1.590e-6, 1.064e-6
0.498, 1.633e-6, 1.081e-6
0.497, 1.664e-6, 1.097e-6
0.496, 1.736e-6, 1.115e-6
0.495, 1.781e-6, 1.133e-6
0.494, 1.817e-6, 1.151e-6
0.493, 1.971e-6, 1.170e-6
0.492, 1.890e-6, 1.189e-6
0.491, 2.032e-6, 1.210e-6
0.490, 1.936e-6, 1.229e-6
0.489, 2.043e-6, 1.249e-6
0.488, 1.945e-6, 1.269e-6
0.487, 1.928e-6, 1.288e-6
0.486, 1.939e-6, 1.308e-6
0.485, 1.953e-6, 1.327e-6
0.484, 2.018e-6, 1.347e-6
0.483, 2.064e-6, 1.368e-6
0.482, 2.156e-6, 1.389e-6
0.481, 2.223e-6, 1.412e-6
0.480, 2.318e-6, 1.435e-6
0.479, 2.350e-6, 1.458e-6
0.478, 2.396e-6, 1.482e-6
0.477, 2.401e-6, 1.506e-6
0.476, 2.422e-6, 1.531e-6
0.475, 2.407e-6, 1.555e-6
0.474, 2.410e-6, 1.579e-6
0.473, 2.400e-6, 1.603e-6
0.472, 2.437e-6, 1.627e-6
0.471, 2.467e-6, 1.652e-6
0.470, 2.490e-6, 1.677e-6
0.469, 2.653e-6, 1.703e-6
0.468, 2.603e-6, 1.729e-6
0.467, 2.824e-6, 1.757e-6
0.466, 2.790e-6, 1.785e-6
0.465, 2.993e-6, 1.815e-6
0.464, 2.965e-6, 1.845e-6
0.463, 3.021e-6, 1.875e-6
0.462, 3.059e-6, 1.906e-6
0.461, 3.032e-6, 1.936e-6
0.460, 3.028e-6, 1.966e-6
0.459, 3.035e-6, 1.997e-6
0.458, 3.091e-6, 2.028e-6
0.457, 3.145e-6, 2.059e-6
0.456, 3.242e-6, 2.091e-6
0.455, 3.332e-6, 2.125e-6
0.454, 3.458e-6, 2.159e-6
0.453, 3.563e-6, 2.195e-6
0.452, 3.673e-6, 2.232e-6
0.451, 3.745e-6, 2.269e-6
0.450, 3.823e-6, 2.307e-6
0.449, 3.877e-6, 2.346e-6
0.448, 3.928e-6, 2.385e-6
0.447, 3.947e-6, 2.425e-6
0.446, 3.946e-6, 2.464e-6
0.445, 4.057e-6, 2.505e-6
0.444, 3.982e-6, 2.545e-6
0.443, 4.193e-6, 2.587e-6
0.442, 4.160e-6, 2.628e-6
0.441, 4.440e-6, 2.673e-6
0.440, 4.492e-6, 2.718e-6
0.439, 4.785e-6, 2.765e-6
0.438, 4.887e-6, 2.814e-6
0.437, 4.986e-6, 2.864e-6
0.436, 5.066e-6, 2.915e-6
0.435, 5.093e-6, 2.966e-6
0.434, 5.111e-6, 3.017e-6
0.433, 5.134e-6, 3.068e-6
0.432, 5.214e-6, 3.120e-6
0.431, 5.323e-6, 3.174e-6
