Nov. 16, 2023   13:29:22
Cyclic Voltammetry
File: c:\users\dell\desktop\1116\o2-Âý.txt
Data Source:  Experiment
Instrument Model:  CHI600B
Header: 
Note: 

Init E (V) = 0.65
High E (V) = 1.3
Low E (V) = -0.31
Init P/N = N
Scan Rate (V/s) = 0.1
Segment = 10
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 5e-6

Segment 1:
Ep = 0.372V
ip = 1.268e-5A
Ah = 1.178e-5C

Ep = -0.085V
ip = 3.370e-6A
Ah = 2.481e-6C

Segment 2:
Segment 3:
Ep = 0.337V
ip = 1.750e-5A
Ah = 1.130e-5C

Ep = -0.111V
ip = 6.910e-6A
Ah = 3.868e-6C

Segment 4:
Segment 5:
Ep = 0.338V
ip = 1.777e-5A
Ah = 1.149e-5C

Segment 6:
Segment 7:
Ep = 0.337V
ip = 1.811e-5A
Ah = 1.188e-5C

Ep = -0.095V
ip = 3.840e-7A
Ah = 1.331e-7C

Segment 8:

Segment 9:
Ep = 0.336V
ip = 1.845e-5A
Ah = 1.225e-5C

Ep = -0.098V
ip = 2.736e-6A
Ah = 1.271e-6C

Segment 10:
Potential/V, Current/A, Charge/C

Segment 1:
0.649, -1.296e-7, -1.296e-9
0.648, -1.479e-8, -1.444e-9
0.647, -7.509e-9, -1.519e-9
0.646, 5.138e-8, -1.005e-9
0.645, 4.474e-8, -5.578e-10
0.644, 9.380e-8, 3.802e-10
0.643, 8.283e-8, 1.208e-9
0.642, 1.283e-7, 2.492e-9
0.641, 1.144e-7, 3.635e-9
0.640, 1.515e-7, 5.150e-9
0.639, 1.352e-7, 6.502e-9
0.638, 1.762e-7, 8.265e-9
0.637, 1.561e-7, 9.826e-9
0.636, 1.917e-7, 1.174e-8
0.635, 1.775e-7, 1.352e-8
0.634, 2.088e-7, 1.561e-8
0.633, 1.885e-7, 1.749e-8
0.632, 2.246e-7, 1.974e-8
0.631, 2.057e-7, 2.179e-8
0.630, 2.368e-7, 2.416e-8
0.629, 2.189e-7, 2.635e-8
0.628, 2.481e-7, 2.883e-8
0.627, 2.294e-7, 3.113e-8
0.626, 2.573e-7, 3.370e-8
0.625, 2.412e-7, 3.611e-8
0.624, 2.713e-7, 3.882e-8
0.623, 2.516e-7, 4.134e-8
0.622, 2.843e-7, 4.418e-8
0.621, 2.607e-7, 4.679e-8
0.620, 2.932e-7, 4.972e-8
0.619, 2.769e-7, 5.249e-8
0.618, 3.041e-7, 5.553e-8
0.617, 2.831e-7, 5.836e-8
0.616, 3.170e-7, 6.153e-8
0.615, 2.951e-7, 6.448e-8
0.614, 3.209e-7, 6.769e-8
0.613, 3.048e-7, 7.074e-8
0.612, 3.358e-7, 7.410e-8
0.611, 3.172e-7, 7.727e-8
0.610, 3.467e-7, 8.074e-8
0.609, 3.282e-7, 8.402e-8
0.608, 3.568e-7, 8.759e-8
0.607, 3.362e-7, 9.095e-8
0.606, 3.707e-7, 9.466e-8
0.605, 3.508e-7, 9.817e-8
0.604, 3.806e-7, 1.020e-7
0.603, 3.628e-7, 1.056e-7
0.602, 3.950e-7, 1.095e-7
0.601, 3.760e-7, 1.133e-7
0.600, 4.088e-7, 1.174e-7
0.599, 3.878e-7, 1.213e-7
0.598, 4.195e-7, 1.255e-7
0.597, 4.024e-7, 1.295e-7
0.596, 4.332e-7, 1.338e-7
0.595, 4.176e-7, 1.380e-7
0.594, 4.461e-7, 1.425e-7
0.593, 4.286e-7, 1.467e-7
0.592, 4.605e-7, 1.514e-7
0.591, 4.447e-7, 1.558e-7
0.590, 4.809e-7, 1.606e-7
0.589, 4.596e-7, 1.652e-7
0.588, 4.951e-7, 1.702e-7
0.587, 4.795e-7, 1.750e-7
0.586, 5.149e-7, 1.801e-7
0.585, 4.970e-7, 1.851e-7
0.584, 5.313e-7, 1.904e-7
0.583, 5.169e-7, 1.956e-7
0.582, 5.471e-7, 2.010e-7
0.581, 5.327e-7, 2.064e-7
0.580, 5.681e-7, 2.120e-7
0.579, 5.509e-7, 2.175e-7
0.578, 5.902e-7, 2.234e-7
0.577, 5.749e-7, 2.292e-7
0.576, 6.126e-7, 2.353e-7
0.575, 5.973e-7, 2.413e-7
0.574, 6.366e-7, 2.477e-7
0.573, 6.208e-7, 2.539e-7
0.572, 6.547e-7, 2.604e-7
0.571, 6.452e-7, 2.669e-7
0.570, 6.858e-7, 2.737e-7
0.569, 6.702e-7, 2.804e-7
0.568, 7.184e-7, 2.876e-7
0.567, 7.011e-7, 2.946e-7
0.566, 7.443e-7, 3.021e-7
0.565, 7.366e-7, 3.094e-7
0.564, 7.765e-7, 3.172e-7
0.563, 7.682e-7, 3.249e-7
0.562, 8.100e-7, 3.330e-7
0.561, 7.997e-7, 3.410e-7
0.560, 8.390e-7, 3.494e-7
0.559, 8.310e-7, 3.577e-7
0.558, 8.772e-7, 3.664e-7
0.557, 8.664e-7, 3.751e-7
0.556, 9.095e-7, 3.842e-7
0.555, 9.072e-7, 3.933e-7
0.554, 9.492e-7, 4.028e-7
0.553, 9.416e-7, 4.122e-7
0.552, 9.896e-7, 4.221e-7
0.551, 9.850e-7, 4.319e-7
0.550, 1.031e-6, 4.422e-7
0.549, 1.027e-6, 4.525e-7
0.548, 1.076e-6, 4.633e-7
0.547, 1.072e-6, 4.740e-7
0.546, 1.122e-6, 4.852e-7
0.545, 1.124e-6, 4.965e-7
0.544, 1.174e-6, 5.082e-7
0.543, 1.171e-6, 5.199e-7
0.542, 1.226e-6, 5.322e-7
0.541, 1.227e-6, 5.444e-7
0.540, 1.280e-6, 5.572e-7
0.539, 1.285e-6, 5.701e-7
0.538, 1.337e-6, 5.835e-7
0.537, 1.343e-6, 5.969e-7
0.536, 1.399e-6, 6.109e-7
0.535, 1.406e-6, 6.249e-7
0.534, 1.465e-6, 6.396e-7
0.533, 1.476e-6, 6.543e-7
0.532, 1.542e-6, 6.698e-7
0.531, 1.552e-6, 6.853e-7
0.530, 1.612e-6, 7.014e-7
0.529, 1.625e-6, 7.177e-7
0.528, 1.690e-6, 7.346e-7
0.527, 1.702e-6, 7.516e-7
0.526, 1.770e-6, 7.693e-7
0.525, 1.786e-6, 7.871e-7
0.524, 1.854e-6, 8.057e-7
0.523, 1.874e-6, 8.244e-7
0.522, 1.941e-6, 8.438e-7
0.521, 1.964e-6, 8.635e-7
0.520, 2.036e-6, 8.838e-7
0.519, 2.061e-6, 9.044e-7
0.518, 2.133e-6, 9.258e-7
0.517, 2.161e-6, 9.474e-7
0.516, 2.240e-6, 9.698e-7
0.515, 2.269e-6, 9.925e-7
0.514, 2.354e-6, 1.016e-6
0.513, 2.386e-6, 1.040e-6
0.512, 2.472e-6, 1.065e-6
0.511, 2.506e-6, 1.090e-6
0.510, 2.591e-6, 1.116e-6
0.509, 2.628e-6, 1.142e-6
0.508, 2.715e-6, 1.169e-6
0.507, 2.758e-6, 1.197e-6
0.506, 2.850e-6, 1.225e-6
0.505, 2.892e-6, 1.254e-6
0.504, 2.986e-6, 1.284e-6
0.503, 3.040e-6, 1.314e-6
0.502, 3.144e-6, 1.346e-6
0.501, 3.192e-6, 1.378e-6
0.500, 3.293e-6, 1.411e-6
0.499, 3.347e-6, 1.444e-6
0.498, 3.450e-6, 1.478e-6
0.497, 3.509e-6, 1.514e-6
0.496, 3.615e-6, 1.550e-6
0.495, 3.672e-6, 1.586e-6
0.494, 3.786e-6, 1.624e-6
0.493, 3.855e-6, 1.663e-6
0.492, 3.969e-6, 1.703e-6
0.491, 4.039e-6, 1.743e-6
0.490, 4.156e-6, 1.785e-6
0.489, 4.225e-6, 1.827e-6
0.488, 4.347e-6, 1.870e-6
0.487, 4.420e-6, 1.914e-6
0.486, 4.544e-6, 1.960e-6
0.485, 4.627e-6, 2.006e-6
0.484, 4.759e-6, 2.054e-6
0.483, 4.838e-6, 2.102e-6
0.482, 4.968e-6, 2.152e-6
0.481, 5.053e-6, 2.202e-6
0.480, 5.187e-6, 2.254e-6
0.479, 5.273e-6, 2.307e-6
0.478, 5.420e-6, 2.361e-6
0.477, 5.511e-6, 2.416e-6
0.476, 5.650e-6, 2.473e-6
0.475, 5.746e-6, 2.530e-6
0.474, 5.887e-6, 2.589e-6
0.473, 5.982e-6, 2.649e-6
0.472, 6.129e-6, 2.710e-6
0.471, 6.221e-6, 2.772e-6
0.470, 6.365e-6, 2.836e-6
0.469, 6.466e-6, 2.901e-6
0.468, 6.616e-6, 2.967e-6
0.467, 6.720e-6, 3.034e-6
0.466, 6.869e-6, 3.103e-6
0.465, 6.986e-6, 3.173e-6
0.464, 7.140e-6, 3.244e-6
0.463, 7.246e-6, 3.316e-6
0.462, 7.405e-6, 3.391e-6
0.461, 7.512e-6, 3.466e-6
0.460, 7.667e-6, 3.542e-6
0.459, 7.789e-6, 3.620e-6
0.458, 7.944e-6, 3.700e-6
0.457, 8.052e-6, 3.780e-6
0.456, 8.211e-6, 3.862e-6
0.455, 8.323e-6, 3.946e-6
0.454, 8.479e-6, 4.030e-6
0.453, 8.600e-6, 4.116e-6
0.452, 8.758e-6, 4.204e-6
0.451, 8.868e-6, 4.293e-6
0.450, 9.022e-6, 4.383e-6
0.449, 9.139e-6, 4.474e-6
0.448, 9.299e-6, 4.567e-6
0.447, 9.413e-6, 4.661e-6
0.446, 9.572e-6, 4.757e-6
0.445, 9.679e-6, 4.854e-6
0.444, 9.830e-6, 4.952e-6
0.443, 9.939e-6, 5.051e-6
0.442, 1.009e-5, 5.152e-6
0.441, 1.020e-5, 5.254e-6
0.440, 1.035e-5, 5.358e-6
0.439, 1.046e-5, 5.463e-6
0.438, 1.060e-5, 5.569e-6
