Nov. 16, 2023   13:17:21
Cyclic Voltammetry
File: c:\users\dell\desktop\1116\o2-¾².txt
Data Source:  Experiment
Instrument Model:  CHI600B
Header: 
Note: 

Init E (V) = 0.65
High E (V) = 1.3
Low E (V) = -0.31
Init P/N = N
Scan Rate (V/s) = 0.1
Segment = 10
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 5e-6

Segment 1:
Ep = 0.340V
ip = 1.780e-5A
Ah = 1.179e-5C

Ep = -0.246V
ip = 1.149e-6A
Ah = 4.302e-7C

Segment 2:
Segment 3:
Ep = 0.342V
ip = 1.405e-5A
Ah = 9.125e-6C

Ep = -0.098V
ip = 8.983e-7A
Ah = 3.420e-7C

Segment 4:

Segment 5:
Ep = 0.345V
ip = 1.386e-5A
Ah = 8.788e-6C

Ep = -0.095V
ip = 1.032e-6A
Ah = 3.646e-7C

Segment 6:

Segment 7:
Ep = 0.344V
ip = 1.587e-5A
Ah = 9.966e-6C

Ep = -0.085V
ip = 9.364e-7A
Ah = 2.555e-7C

Segment 8:
Segment 9:
Ep = 0.344V
ip = 1.602e-5A
Ah = 1.013e-5C

Ep = -0.090V
ip = 9.874e-7A
Ah = 3.371e-7C

Segment 10:
Potential/V, Current/A, Charge/C

Segment 1:
0.649, 9.530e-8, 9.530e-10
0.648, 1.308e-7, 2.261e-9
0.647, 1.460e-7, 3.720e-9
0.646, 1.596e-7, 5.316e-9
0.645, 1.695e-7, 7.011e-9
0.644, 1.777e-7, 8.788e-9
0.643, 1.849e-7, 1.064e-8
0.642, 1.914e-7, 1.255e-8
0.641, 2.002e-7, 1.455e-8
0.640, 2.042e-7, 1.660e-8
0.639, 2.119e-7, 1.871e-8
0.638, 2.173e-7, 2.089e-8
0.637, 2.225e-7, 2.311e-8
0.636, 2.271e-7, 2.538e-8
0.635, 2.346e-7, 2.773e-8
0.634, 2.357e-7, 3.009e-8
0.633, 2.388e-7, 3.247e-8
0.632, 2.463e-7, 3.494e-8
0.631, 2.466e-7, 3.740e-8
0.630, 2.533e-7, 3.994e-8
0.629, 2.564e-7, 4.250e-8
0.628, 2.619e-7, 4.512e-8
0.627, 2.641e-7, 4.776e-8
0.626, 2.692e-7, 5.045e-8
0.625, 2.732e-7, 5.318e-8
0.624, 2.768e-7, 5.595e-8
0.623, 2.825e-7, 5.878e-8
0.622, 2.870e-7, 6.165e-8
0.621, 2.908e-7, 6.456e-8
0.620, 2.939e-7, 6.749e-8
0.619, 3.014e-7, 7.051e-8
0.618, 3.040e-7, 7.355e-8
0.617, 3.068e-7, 7.662e-8
0.616, 3.130e-7, 7.975e-8
0.615, 3.152e-7, 8.290e-8
0.614, 3.136e-7, 8.603e-8
0.613, 3.233e-7, 8.927e-8
0.612, 3.281e-7, 9.255e-8
0.611, 3.318e-7, 9.587e-8
0.610, 3.376e-7, 9.924e-8
0.609, 3.389e-7, 1.026e-7
0.608, 3.477e-7, 1.061e-7
0.607, 3.478e-7, 1.096e-7
0.606, 3.566e-7, 1.132e-7
0.605, 3.580e-7, 1.167e-7
0.604, 3.630e-7, 1.204e-7
0.603, 3.698e-7, 1.241e-7
0.602, 3.742e-7, 1.278e-7
0.601, 3.779e-7, 1.316e-7
0.600, 3.867e-7, 1.354e-7
0.599, 3.880e-7, 1.393e-7
0.598, 3.960e-7, 1.433e-7
0.597, 4.026e-7, 1.473e-7
0.596, 4.067e-7, 1.514e-7
0.595, 4.099e-7, 1.555e-7
0.594, 4.180e-7, 1.597e-7
0.593, 4.202e-7, 1.639e-7
0.592, 4.275e-7, 1.681e-7
0.591, 4.307e-7, 1.724e-7
0.590, 4.413e-7, 1.769e-7
0.589, 4.413e-7, 1.813e-7
0.588, 4.497e-7, 1.858e-7
0.587, 4.575e-7, 1.903e-7
0.586, 4.646e-7, 1.950e-7
0.585, 4.648e-7, 1.996e-7
0.584, 4.809e-7, 2.044e-7
0.583, 4.812e-7, 2.093e-7
0.582, 4.924e-7, 2.142e-7
0.581, 4.935e-7, 2.191e-7
0.580, 5.068e-7, 2.242e-7
0.579, 5.073e-7, 2.293e-7
0.578, 5.179e-7, 2.344e-7
0.577, 5.232e-7, 2.397e-7
0.576, 5.317e-7, 2.450e-7
0.575, 5.356e-7, 2.503e-7
0.574, 5.492e-7, 2.558e-7
0.573, 5.499e-7, 2.613e-7
0.572, 5.615e-7, 2.669e-7
0.571, 5.674e-7, 2.726e-7
0.570, 5.788e-7, 2.784e-7
0.569, 5.827e-7, 2.842e-7
0.568, 5.951e-7, 2.902e-7
0.567, 5.981e-7, 2.962e-7
0.566, 6.095e-7, 3.023e-7
0.565, 6.168e-7, 3.084e-7
0.564, 6.281e-7, 3.147e-7
0.563, 6.342e-7, 3.211e-7
0.562, 6.450e-7, 3.275e-7
0.561, 6.493e-7, 3.340e-7
0.560, 6.660e-7, 3.407e-7
0.559, 6.662e-7, 3.473e-7
0.558, 6.901e-7, 3.542e-7
0.557, 6.889e-7, 3.611e-7
0.556, 7.092e-7, 3.682e-7
0.555, 7.167e-7, 3.754e-7
0.554, 7.338e-7, 3.827e-7
0.553, 7.369e-7, 3.901e-7
0.552, 7.587e-7, 3.977e-7
0.551, 7.597e-7, 4.053e-7
0.550, 7.774e-7, 4.130e-7
0.549, 7.848e-7, 4.209e-7
0.548, 8.015e-7, 4.289e-7
0.547, 8.056e-7, 4.370e-7
0.546, 8.220e-7, 4.452e-7
0.545, 8.293e-7, 4.535e-7
0.544, 8.478e-7, 4.619e-7
0.543, 8.513e-7, 4.705e-7
0.542, 8.728e-7, 4.792e-7
0.541, 8.776e-7, 4.880e-7
0.540, 8.970e-7, 4.969e-7
0.539, 9.036e-7, 5.060e-7
0.538, 9.223e-7, 5.152e-7
0.537, 9.266e-7, 5.245e-7
0.536, 9.525e-7, 5.340e-7
0.535, 9.552e-7, 5.435e-7
0.534, 9.773e-7, 5.533e-7
0.533, 9.833e-7, 5.631e-7
0.532, 1.006e-6, 5.732e-7
0.531, 1.013e-6, 5.833e-7
0.530, 1.033e-6, 5.937e-7
0.529, 1.041e-6, 6.041e-7
0.528, 1.064e-6, 6.147e-7
0.527, 1.070e-6, 6.254e-7
0.526, 1.097e-6, 6.364e-7
0.525, 1.103e-6, 6.474e-7
0.524, 1.125e-6, 6.587e-7
0.523, 1.137e-6, 6.700e-7
0.522, 1.160e-6, 6.816e-7
0.521, 1.166e-6, 6.933e-7
0.520, 1.196e-6, 7.052e-7
0.519, 1.203e-6, 7.173e-7
0.518, 1.228e-6, 7.296e-7
0.517, 1.236e-6, 7.419e-7
0.516, 1.263e-6, 7.545e-7
0.515, 1.272e-6, 7.673e-7
0.514, 1.301e-6, 7.803e-7
0.513, 1.310e-6, 7.934e-7
0.512, 1.344e-6, 8.068e-7
0.511, 1.347e-6, 8.203e-7
0.510, 1.381e-6, 8.341e-7
0.509, 1.388e-6, 8.480e-7
0.508, 1.417e-6, 8.621e-7
0.507, 1.431e-6, 8.765e-7
0.506, 1.460e-6, 8.911e-7
0.505, 1.471e-6, 9.058e-7
0.504, 1.512e-6, 9.209e-7
0.503, 1.521e-6, 9.361e-7
0.502, 1.551e-6, 9.516e-7
0.501, 1.567e-6, 9.673e-7
0.500, 1.599e-6, 9.833e-7
0.499, 1.611e-6, 9.994e-7
0.498, 1.643e-6, 1.016e-6
0.497, 1.658e-6, 1.032e-6
0.496, 1.692e-6, 1.049e-6
0.495, 1.705e-6, 1.066e-6
0.494, 1.741e-6, 1.084e-6
0.493, 1.753e-6, 1.101e-6
0.492, 1.789e-6, 1.119e-6
0.491, 1.807e-6, 1.137e-6
0.490, 1.843e-6, 1.156e-6
0.489, 1.858e-6, 1.174e-6
0.488, 1.902e-6, 1.193e-6
0.487, 1.913e-6, 1.212e-6
0.486, 1.956e-6, 1.232e-6
0.485, 1.971e-6, 1.252e-6
0.484, 2.011e-6, 1.272e-6
0.483, 2.027e-6, 1.292e-6
0.482, 2.073e-6, 1.313e-6
0.481, 2.093e-6, 1.334e-6
0.480, 2.133e-6, 1.355e-6
0.479, 2.154e-6, 1.377e-6
0.478, 2.203e-6, 1.399e-6
0.477, 2.222e-6, 1.421e-6
0.476, 2.272e-6, 1.444e-6
0.475, 2.300e-6, 1.467e-6
0.474, 2.350e-6, 1.490e-6
0.473, 2.372e-6, 1.514e-6
0.472, 2.425e-6, 1.538e-6
0.471, 2.448e-6, 1.563e-6
0.470, 2.498e-6, 1.588e-6
0.469, 2.527e-6, 1.613e-6
0.468, 2.584e-6, 1.639e-6
0.467, 2.610e-6, 1.665e-6
0.466, 2.669e-6, 1.691e-6
0.465, 2.698e-6, 1.718e-6
0.464, 2.760e-6, 1.746e-6
0.463, 2.787e-6, 1.774e-6
0.462, 2.856e-6, 1.802e-6
0.461, 2.884e-6, 1.831e-6
0.460, 2.953e-6, 1.861e-6
0.459, 2.987e-6, 1.891e-6
0.458, 3.065e-6, 1.921e-6
0.457, 3.103e-6, 1.952e-6
0.456, 3.176e-6, 1.984e-6
0.455, 3.217e-6, 2.016e-6
0.454, 3.289e-6, 2.049e-6
0.453, 3.335e-6, 2.083e-6
0.452, 3.415e-6, 2.117e-6
0.451, 3.458e-6, 2.151e-6
0.450, 3.538e-6, 2.187e-6
0.449, 3.589e-6, 2.222e-6
0.448, 3.671e-6, 2.259e-6
0.447, 3.725e-6, 2.296e-6
0.446, 3.817e-6, 2.335e-6
0.445, 3.881e-6, 2.373e-6
0.444, 3.970e-6, 2.413e-6
0.443, 4.036e-6, 2.453e-6
0.442, 4.131e-6, 2.495e-6
0.441, 4.194e-6, 2.537e-6
0.440, 4.301e-6, 2.580e-6
