Nov. 16, 2023   12:47:58
Cyclic Voltammetry
File: c:\users\dell\desktop\1116\¿Õ°×-01.txt
Data Source:  Experiment
Instrument Model:  CHI600B
Header: 
Note: 

Init E (V) = 0.65
High E (V) = 1.3
Low E (V) = -0.31
Init P/N = N
Scan Rate (V/s) = 0.1
Segment = 10
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 5e-6

Segment 1:
Ep = 0.377V
ip = 4.859e-6A
Ah = 3.679e-6C

Ep = -0.085V
ip = 1.587e-6A
Ah = 6.599e-7C

Segment 2:

Segment 3:
Ep = 0.366V
ip = 4.524e-6A
Ah = 3.333e-6C

Ep = -0.092V
ip = 1.544e-6A
Ah = 7.074e-7C

Segment 4:

Segment 5:
Ep = 0.366V
ip = 4.580e-6A
Ah = 3.357e-6C

Ep = -0.092V
ip = 1.464e-6A
Ah = 6.918e-7C

Segment 6:

Segment 7:
Ep = 0.368V
ip = 4.469e-6A
Ah = 3.256e-6C

Ep = -0.091V
ip = 1.494e-6A
Ah = 7.158e-7C

Segment 8:

Segment 9:
Ep = 0.366V
ip = 4.585e-6A
Ah = 3.407e-6C

Ep = -0.092V
ip = 1.520e-6A
Ah = 6.891e-7C

Segment 10:

Potential/V, Current/A, Charge/C

Segment 1:
0.649, 1.037e-7, 1.037e-9
0.648, 1.443e-7, 2.480e-9
0.647, 1.572e-7, 4.052e-9
0.646, 1.685e-7, 5.738e-9
0.645, 1.821e-7, 7.559e-9
0.644, 1.903e-7, 9.462e-9
0.643, 1.991e-7, 1.145e-8
0.642, 2.051e-7, 1.350e-8
0.641, 2.147e-7, 1.565e-8
0.640, 2.181e-7, 1.783e-8
0.639, 2.230e-7, 2.006e-8
0.638, 2.314e-7, 2.238e-8
0.637, 2.334e-7, 2.471e-8
0.636, 2.383e-7, 2.709e-8
0.635, 2.474e-7, 2.957e-8
0.634, 2.486e-7, 3.205e-8
0.633, 2.524e-7, 3.458e-8
0.632, 2.587e-7, 3.716e-8
0.631, 2.601e-7, 3.976e-8
0.630, 2.633e-7, 4.240e-8
0.629, 2.714e-7, 4.511e-8
0.628, 2.729e-7, 4.784e-8
0.627, 2.794e-7, 5.064e-8
0.626, 2.833e-7, 5.347e-8
0.625, 2.900e-7, 5.637e-8
0.624, 2.902e-7, 5.927e-8
0.623, 2.975e-7, 6.225e-8
0.622, 3.025e-7, 6.527e-8
0.621, 3.052e-7, 6.832e-8
0.620, 3.078e-7, 7.140e-8
0.619, 3.180e-7, 7.458e-8
0.618, 3.181e-7, 7.776e-8
0.617, 3.225e-7, 8.099e-8
0.616, 3.280e-7, 8.427e-8
0.615, 3.324e-7, 8.759e-8
0.614, 3.282e-7, 9.087e-8
0.613, 3.405e-7, 9.428e-8
0.612, 3.433e-7, 9.771e-8
0.611, 3.496e-7, 1.012e-7
0.610, 3.519e-7, 1.047e-7
0.609, 3.609e-7, 1.083e-7
0.608, 3.606e-7, 1.119e-7
0.607, 3.678e-7, 1.156e-7
0.606, 3.724e-7, 1.193e-7
0.605, 3.796e-7, 1.231e-7
0.604, 3.813e-7, 1.270e-7
0.603, 3.936e-7, 1.309e-7
0.602, 3.912e-7, 1.348e-7
0.601, 3.992e-7, 1.388e-7
0.600, 4.039e-7, 1.428e-7
0.599, 4.095e-7, 1.469e-7
0.598, 4.132e-7, 1.511e-7
0.597, 4.243e-7, 1.553e-7
0.596, 4.235e-7, 1.595e-7
0.595, 4.329e-7, 1.639e-7
0.594, 4.318e-7, 1.682e-7
0.593, 4.457e-7, 1.726e-7
0.592, 4.441e-7, 1.771e-7
0.591, 4.541e-7, 1.816e-7
0.590, 4.592e-7, 1.862e-7
0.589, 4.702e-7, 1.909e-7
0.588, 4.701e-7, 1.956e-7
0.587, 4.859e-7, 2.005e-7
0.586, 4.851e-7, 2.053e-7
0.585, 4.970e-7, 2.103e-7
0.584, 5.005e-7, 2.153e-7
0.583, 5.121e-7, 2.204e-7
0.582, 5.114e-7, 2.255e-7
0.581, 5.252e-7, 2.308e-7
0.580, 5.269e-7, 2.361e-7
0.579, 5.419e-7, 2.415e-7
0.578, 5.421e-7, 2.469e-7
0.577, 5.545e-7, 2.524e-7
0.576, 5.553e-7, 2.580e-7
0.575, 5.703e-7, 2.637e-7
0.574, 5.744e-7, 2.694e-7
0.573, 5.901e-7, 2.753e-7
0.572, 5.882e-7, 2.812e-7
0.571, 6.077e-7, 2.873e-7
0.570, 6.077e-7, 2.934e-7
0.569, 6.211e-7, 2.996e-7
0.568, 6.266e-7, 3.059e-7
0.567, 6.389e-7, 3.122e-7
0.566, 6.396e-7, 3.186e-7
0.565, 6.563e-7, 3.252e-7
0.564, 6.570e-7, 3.318e-7
0.563, 6.773e-7, 3.385e-7
0.562, 6.808e-7, 3.454e-7
0.561, 7.013e-7, 3.524e-7
0.560, 7.008e-7, 3.594e-7
0.559, 7.236e-7, 3.666e-7
0.558, 7.303e-7, 3.739e-7
0.557, 7.451e-7, 3.814e-7
0.556, 7.485e-7, 3.889e-7
0.555, 7.702e-7, 3.966e-7
0.554, 7.721e-7, 4.043e-7
0.553, 7.911e-7, 4.122e-7
0.552, 7.950e-7, 4.201e-7
0.551, 8.138e-7, 4.283e-7
0.550, 8.155e-7, 4.364e-7
0.549, 8.367e-7, 4.448e-7
0.548, 8.400e-7, 4.532e-7
0.547, 8.600e-7, 4.618e-7
0.546, 8.623e-7, 4.704e-7
0.545, 8.863e-7, 4.793e-7
0.544, 8.890e-7, 4.882e-7
0.543, 9.094e-7, 4.973e-7
0.542, 9.161e-7, 5.064e-7
0.541, 9.356e-7, 5.158e-7
0.540, 9.394e-7, 5.252e-7
0.539, 9.639e-7, 5.348e-7
0.538, 9.689e-7, 5.445e-7
0.537, 9.898e-7, 5.544e-7
0.536, 9.959e-7, 5.644e-7
0.535, 1.018e-6, 5.745e-7
0.534, 1.022e-6, 5.848e-7
0.533, 1.049e-6, 5.952e-7
0.532, 1.053e-6, 6.058e-7
0.531, 1.079e-6, 6.166e-7
0.530, 1.083e-6, 6.274e-7
0.529, 1.110e-6, 6.385e-7
0.528, 1.114e-6, 6.496e-7
0.527, 1.137e-6, 6.610e-7
0.526, 1.147e-6, 6.725e-7
0.525, 1.174e-6, 6.842e-7
0.524, 1.177e-6, 6.960e-7
0.523, 1.206e-6, 7.081e-7
0.522, 1.211e-6, 7.202e-7
0.521, 1.235e-6, 7.325e-7
0.520, 1.246e-6, 7.450e-7
0.519, 1.276e-6, 7.577e-7
0.518, 1.280e-6, 7.705e-7
0.517, 1.307e-6, 7.836e-7
0.516, 1.316e-6, 7.968e-7
0.515, 1.346e-6, 8.102e-7
0.514, 1.352e-6, 8.237e-7
0.513, 1.384e-6, 8.376e-7
0.512, 1.397e-6, 8.515e-7
0.511, 1.424e-6, 8.658e-7
0.510, 1.432e-6, 8.801e-7
0.509, 1.466e-6, 8.948e-7
0.508, 1.475e-6, 9.095e-7
0.507, 1.514e-6, 9.246e-7
0.506, 1.519e-6, 9.398e-7
0.505, 1.552e-6, 9.554e-7
0.504, 1.564e-6, 9.710e-7
0.503, 1.596e-6, 9.870e-7
0.502, 1.602e-6, 1.003e-6
0.501, 1.634e-6, 1.019e-6
0.500, 1.646e-6, 1.036e-6
0.499, 1.681e-6, 1.053e-6
0.498, 1.689e-6, 1.069e-6
0.497, 1.725e-6, 1.087e-6
0.496, 1.734e-6, 1.104e-6
0.495, 1.769e-6, 1.122e-6
0.494, 1.782e-6, 1.140e-6
0.493, 1.817e-6, 1.158e-6
0.492, 1.826e-6, 1.176e-6
0.491, 1.868e-6, 1.195e-6
0.490, 1.878e-6, 1.213e-6
0.489, 1.914e-6, 1.233e-6
0.488, 1.928e-6, 1.252e-6
0.487, 1.967e-6, 1.272e-6
0.486, 1.978e-6, 1.291e-6
0.485, 2.016e-6, 1.312e-6
0.484, 2.031e-6, 1.332e-6
0.483, 2.072e-6, 1.353e-6
0.482, 2.086e-6, 1.373e-6
0.481, 2.130e-6, 1.395e-6
0.480, 2.141e-6, 1.416e-6
0.479, 2.182e-6, 1.438e-6
0.478, 2.197e-6, 1.460e-6
0.477, 2.241e-6, 1.482e-6
0.476, 2.258e-6, 1.505e-6
0.475, 2.312e-6, 1.528e-6
0.474, 2.325e-6, 1.551e-6
0.473, 2.373e-6, 1.575e-6
0.472, 2.388e-6, 1.599e-6
0.471, 2.433e-6, 1.623e-6
0.470, 2.451e-6, 1.648e-6
0.469, 2.499e-6, 1.673e-6
0.468, 2.517e-6, 1.698e-6
0.467, 2.566e-6, 1.724e-6
0.466, 2.581e-6, 1.749e-6
0.465, 2.635e-6, 1.776e-6
0.464, 2.653e-6, 1.802e-6
0.463, 2.701e-6, 1.829e-6
0.462, 2.724e-6, 1.856e-6
0.461, 2.772e-6, 1.884e-6
0.460, 2.795e-6, 1.912e-6
0.459, 2.853e-6, 1.941e-6
0.458, 2.871e-6, 1.969e-6
0.457, 2.926e-6, 1.999e-6
0.456, 2.950e-6, 2.028e-6
0.455, 3.001e-6, 2.058e-6
0.454, 3.031e-6, 2.088e-6
0.453, 3.097e-6, 2.119e-6
0.452, 3.121e-6, 2.151e-6
0.451, 3.178e-6, 2.182e-6
0.450, 3.198e-6, 2.214e-6
0.449, 3.260e-6, 2.247e-6
0.448, 3.288e-6, 2.280e-6
0.447, 3.347e-6, 2.313e-6
0.446, 3.373e-6, 2.347e-6
0.445, 3.432e-6, 2.381e-6
0.444, 3.460e-6, 2.416e-6
0.443, 3.527e-6, 2.451e-6
0.442, 3.551e-6, 2.487e-6
0.441, 3.616e-6, 2.523e-6
0.440, 3.646e-6, 2.559e-6
