Nov. 16, 2023   12:44:20
Cyclic Voltammetry
File: c:\users\dell\desktop\1116\¿Õ°×-02.txt
Data Source:  Experiment
Instrument Model:  CHI600B
Header: 
Note: 

Init E (V) = 0.65
High E (V) = 1.3
Low E (V) = -0.31
Init P/N = N
Scan Rate (V/s) = 0.2
Segment = 10
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 5e-6

Segment 1:
Ep = -0.114V
ip = 3.188e-6A
Ah = 9.921e-7C

Segment 2:

Segment 3:
Ep = 0.359V
ip = 7.686e-6A
Ah = 2.930e-6C

Ep = -0.089V
ip = 2.905e-6A
Ah = 5.999e-7C

Segment 4:

Segment 5:
Ep = 0.359V
ip = 7.918e-6A
Ah = 3.060e-6C

Ep = -0.085V
ip = 3.014e-6A
Ah = 5.898e-7C

Segment 6:

Segment 7:
Ep = 0.358V
ip = 7.967e-6A
Ah = 3.117e-6C

Ep = -0.083V
ip = 2.955e-6A
Ah = 5.547e-7C

Segment 8:

Segment 9:
Ep = 0.360V
ip = 8.053e-6A
Ah = 3.023e-6C

Ep = -0.085V
ip = 3.068e-6A
Ah = 6.183e-7C

Segment 10:

Potential/V, Current/A, Charge/C

Segment 1:
0.649, 2.255e-7, 1.128e-9
0.648, 2.526e-7, 2.390e-9
0.647, 3.036e-7, 3.909e-9
0.646, 3.703e-7, 5.760e-9
0.645, 3.548e-7, 7.534e-9
0.644, 3.420e-7, 9.244e-9
0.643, 3.822e-7, 1.115e-8
0.642, 4.387e-7, 1.335e-8
0.641, 4.143e-7, 1.542e-8
0.640, 4.027e-7, 1.743e-8
0.639, 4.392e-7, 1.963e-8
0.638, 4.986e-7, 2.212e-8
0.637, 4.654e-7, 2.445e-8
0.636, 4.389e-7, 2.664e-8
0.635, 4.955e-7, 2.912e-8
0.634, 5.371e-7, 3.181e-8
0.633, 5.025e-7, 3.432e-8
0.632, 4.967e-7, 3.680e-8
0.631, 5.258e-7, 3.943e-8
0.630, 5.773e-7, 4.232e-8
0.629, 5.505e-7, 4.507e-8
0.628, 5.292e-7, 4.772e-8
0.627, 5.679e-7, 5.056e-8
0.626, 6.161e-7, 5.364e-8
0.625, 5.891e-7, 5.658e-8
0.624, 5.750e-7, 5.946e-8
0.623, 6.107e-7, 6.251e-8
0.622, 6.599e-7, 6.581e-8
0.621, 6.257e-7, 6.894e-8
0.620, 6.096e-7, 7.199e-8
0.619, 6.587e-7, 7.528e-8
0.618, 6.973e-7, 7.877e-8
0.617, 6.727e-7, 8.213e-8
0.616, 6.629e-7, 8.545e-8
0.615, 6.941e-7, 8.892e-8
0.614, 7.343e-7, 9.259e-8
0.613, 7.296e-7, 9.624e-8
0.612, 7.044e-7, 9.976e-8
0.611, 7.433e-7, 1.035e-7
0.610, 7.889e-7, 1.074e-7
0.609, 7.681e-7, 1.113e-7
0.608, 7.529e-7, 1.150e-7
0.607, 7.907e-7, 1.190e-7
0.606, 8.493e-7, 1.232e-7
0.605, 8.207e-7, 1.273e-7
0.604, 8.033e-7, 1.313e-7
0.603, 8.450e-7, 1.356e-7
0.602, 8.898e-7, 1.400e-7
0.601, 8.676e-7, 1.444e-7
0.600, 8.587e-7, 1.486e-7
0.599, 8.877e-7, 1.531e-7
0.598, 9.424e-7, 1.578e-7
0.597, 9.215e-7, 1.624e-7
0.596, 9.040e-7, 1.669e-7
0.595, 9.363e-7, 1.716e-7
0.594, 9.852e-7, 1.765e-7
0.593, 9.740e-7, 1.814e-7
0.592, 9.529e-7, 1.862e-7
0.591, 9.947e-7, 1.911e-7
0.590, 1.046e-6, 1.964e-7
0.589, 1.016e-6, 2.015e-7
0.588, 1.007e-6, 2.065e-7
0.587, 1.050e-6, 2.117e-7
0.586, 1.096e-6, 2.172e-7
0.585, 1.071e-6, 2.226e-7
0.584, 1.063e-6, 2.279e-7
0.583, 1.098e-6, 2.334e-7
0.582, 1.147e-6, 2.391e-7
0.581, 1.125e-6, 2.447e-7
0.580, 1.111e-6, 2.503e-7
0.579, 1.151e-6, 2.560e-7
0.578, 1.200e-6, 2.620e-7
0.577, 1.179e-6, 2.679e-7
0.576, 1.165e-6, 2.738e-7
0.575, 1.205e-6, 2.798e-7
0.574, 1.258e-6, 2.861e-7
0.573, 1.233e-6, 2.922e-7
0.572, 1.212e-6, 2.983e-7
0.571, 1.266e-6, 3.046e-7
0.570, 1.302e-6, 3.111e-7
0.569, 1.290e-6, 3.176e-7
0.568, 1.275e-6, 3.240e-7
0.567, 1.312e-6, 3.305e-7
0.566, 1.368e-6, 3.374e-7
0.565, 1.343e-6, 3.441e-7
0.564, 1.328e-6, 3.507e-7
0.563, 1.369e-6, 3.576e-7
0.562, 1.419e-6, 3.647e-7
0.561, 1.398e-6, 3.716e-7
0.560, 1.384e-6, 3.786e-7
0.559, 1.413e-6, 3.856e-7
0.558, 1.477e-6, 3.930e-7
0.557, 1.452e-6, 4.003e-7
0.556, 1.433e-6, 4.074e-7
0.555, 1.487e-6, 4.149e-7
0.554, 1.537e-6, 4.226e-7
0.553, 1.517e-6, 4.302e-7
0.552, 1.510e-6, 4.377e-7
0.551, 1.540e-6, 4.454e-7
0.550, 1.593e-6, 4.534e-7
0.549, 1.575e-6, 4.612e-7
0.548, 1.557e-6, 4.690e-7
0.547, 1.595e-6, 4.770e-7
0.546, 1.637e-6, 4.852e-7
0.545, 1.628e-6, 4.933e-7
0.544, 1.610e-6, 5.014e-7
0.543, 1.638e-6, 5.096e-7
0.542, 1.704e-6, 5.181e-7
0.541, 1.676e-6, 5.265e-7
0.540, 1.664e-6, 5.348e-7
0.539, 1.711e-6, 5.433e-7
0.538, 1.752e-6, 5.521e-7
0.537, 1.728e-6, 5.607e-7
0.536, 1.725e-6, 5.694e-7
0.535, 1.751e-6, 5.781e-7
0.534, 1.804e-6, 5.872e-7
0.533, 1.792e-6, 5.961e-7
0.532, 1.768e-6, 6.049e-7
0.531, 1.805e-6, 6.140e-7
0.530, 1.856e-6, 6.233e-7
0.529, 1.835e-6, 6.324e-7
0.528, 1.819e-6, 6.415e-7
0.527, 1.853e-6, 6.508e-7
0.526, 1.912e-6, 6.604e-7
0.525, 1.885e-6, 6.698e-7
0.524, 1.870e-6, 6.791e-7
0.523, 1.920e-6, 6.887e-7
0.522, 1.956e-6, 6.985e-7
0.521, 1.942e-6, 7.082e-7
0.520, 1.931e-6, 7.179e-7
0.519, 1.956e-6, 7.276e-7
0.518, 2.005e-6, 7.377e-7
0.517, 1.989e-6, 7.476e-7
0.516, 1.968e-6, 7.575e-7
0.515, 2.005e-6, 7.675e-7
0.514, 2.050e-6, 7.777e-7
0.513, 2.036e-6, 7.879e-7
0.512, 2.032e-6, 7.981e-7
0.511, 2.053e-6, 8.083e-7
0.510, 2.106e-6, 8.189e-7
0.509, 2.076e-6, 8.292e-7
0.508, 2.063e-6, 8.396e-7
0.507, 2.105e-6, 8.501e-7
0.506, 2.149e-6, 8.608e-7
0.505, 2.119e-6, 8.714e-7
0.504, 2.111e-6, 8.820e-7
0.503, 2.139e-6, 8.927e-7
0.502, 2.192e-6, 9.036e-7
0.501, 2.167e-6, 9.145e-7
0.500, 2.150e-6, 9.252e-7
0.499, 2.178e-6, 9.361e-7
0.498, 2.224e-6, 9.472e-7
0.497, 2.201e-6, 9.582e-7
0.496, 2.182e-6, 9.691e-7
0.495, 2.210e-6, 9.802e-7
0.494, 2.266e-6, 9.915e-7
0.493, 2.233e-6, 1.003e-6
0.492, 2.214e-6, 1.014e-6
0.491, 2.260e-6, 1.025e-6
0.490, 2.299e-6, 1.037e-6
0.489, 2.275e-6, 1.048e-6
0.488, 2.260e-6, 1.059e-6
0.487, 2.287e-6, 1.071e-6
0.486, 2.333e-6, 1.082e-6
0.485, 2.311e-6, 1.094e-6
0.484, 2.290e-6, 1.105e-6
0.483, 2.316e-6, 1.117e-6
0.482, 2.358e-6, 1.129e-6
0.481, 2.336e-6, 1.140e-6
0.480, 2.314e-6, 1.152e-6
0.479, 2.341e-6, 1.164e-6
0.478, 2.386e-6, 1.176e-6
0.477, 2.356e-6, 1.187e-6
0.476, 2.334e-6, 1.199e-6
0.475, 2.372e-6, 1.211e-6
0.474, 2.405e-6, 1.223e-6
0.473, 2.377e-6, 1.235e-6
0.472, 2.367e-6, 1.247e-6
0.471, 2.381e-6, 1.259e-6
0.470, 2.421e-6, 1.271e-6
0.469, 2.396e-6, 1.283e-6
0.468, 2.368e-6, 1.294e-6
0.467, 2.394e-6, 1.306e-6
0.466, 2.435e-6, 1.319e-6
0.465, 2.405e-6, 1.331e-6
0.464, 2.382e-6, 1.343e-6
0.463, 2.404e-6, 1.355e-6
0.462, 2.442e-6, 1.367e-6
0.461, 2.416e-6, 1.379e-6
0.460, 2.387e-6, 1.391e-6
0.459, 2.416e-6, 1.403e-6
0.458, 2.446e-6, 1.415e-6
0.457, 2.414e-6, 1.427e-6
0.456, 2.396e-6, 1.439e-6
0.455, 2.410e-6, 1.451e-6
0.454, 2.444e-6, 1.463e-6
0.453, 2.413e-6, 1.475e-6
0.452, 2.386e-6, 1.487e-6
0.451, 2.411e-6, 1.499e-6
0.450, 2.432e-6, 1.512e-6
0.449, 2.406e-6, 1.524e-6
0.448, 2.379e-6, 1.536e-6
0.447, 2.400e-6, 1.548e-6
0.446, 2.427e-6, 1.560e-6
0.445, 2.392e-6, 1.572e-6
0.444, 2.366e-6, 1.583e-6
0.443, 2.384e-6, 1.595e-6
0.442, 2.413e-6, 1.607e-6
0.441, 2.376e-6, 1.619e-6
0.440, 2.355e-6, 1.631e-6
0.439, 2.370e-6, 1.643e-6
0.438, 2.386e-6, 1.655e-6
