"B1- - RawData"
"≤®≥§(nm)","Œ¸ ’÷µ"
200.00,0.3
200.50,0.3
201.00,0.2
201.50,0.2
202.00,0.2
202.50,0.2
203.00,0.2
203.50,0.2
204.00,0.2
204.50,0.2
205.00,0.2
205.50,0.3
206.00,0.2
206.50,0.2
207.00,0.2
207.50,0.2
208.00,0.2
208.50,0.2
209.00,0.2
209.50,0.2
210.00,0.2
210.50,0.2
211.00,0.2
211.50,0.2
212.00,0.2
212.50,0.2
213.00,0.2
213.50,0.2
214.00,0.2
214.50,0.2
215.00,0.2
215.50,0.2
216.00,0.2
216.50,0.2
217.00,0.2
217.50,0.2
218.00,0.2
218.50,0.2
219.00,0.2
219.50,0.2
220.00,0.2
220.50,0.2
221.00,0.2
221.50,0.2
222.00,0.2
222.50,0.2
223.00,0.2
223.50,0.2
224.00,0.2
224.50,0.2
225.00,0.2
225.50,0.2
226.00,0.2
226.50,0.2
227.00,0.2
227.50,0.2
228.00,0.2
228.50,0.2
229.00,0.2
229.50,0.2
230.00,0.2
230.50,0.2
231.00,0.2
231.50,0.2
232.00,0.2
232.50,0.2
233.00,0.2
233.50,0.2
234.00,0.2
234.50,0.2
235.00,0.2
235.50,0.2
236.00,0.2
236.50,0.2
237.00,0.2
237.50,0.2
238.00,0.2
238.50,0.2
239.00,0.2
239.50,0.2
240.00,0.2
240.50,0.2
241.00,0.2
241.50,0.2
242.00,0.2
242.50,0.2
243.00,0.2
243.50,0.2
244.00,0.2
244.50,0.2
245.00,0.2
245.50,0.2
246.00,0.2
246.50,0.2
247.00,0.2
247.50,0.2
248.00,0.2
248.50,0.2
249.00,0.2
249.50,0.2
250.00,0.2
250.50,0.2
251.00,0.2
251.50,0.2
252.00,0.2
252.50,0.2
253.00,0.2
253.50,0.2
254.00,0.2
254.50,0.2
255.00,0.2
255.50,0.2
256.00,0.2
256.50,0.2
257.00,0.2
257.50,0.2
258.00,0.2
258.50,0.2
259.00,0.2
259.50,0.2
260.00,0.2
260.50,0.2
261.00,0.2
261.50,0.2
262.00,0.2
262.50,0.2
263.00,0.2
263.50,0.3
264.00,0.3
264.50,0.3
265.00,0.3
265.50,0.3
266.00,0.3
266.50,0.3
267.00,0.3
267.50,0.3
268.00,0.3
268.50,0.3
269.00,0.3
269.50,0.3
270.00,0.3
270.50,0.3
271.00,0.3
271.50,0.3
272.00,0.3
272.50,0.3
273.00,0.3
273.50,0.3
274.00,0.3
274.50,0.3
275.00,0.3
275.50,0.3
276.00,0.3
276.50,0.3
277.00,0.3
277.50,0.3
278.00,0.3
278.50,0.3
279.00,0.3
279.50,0.3
280.00,0.3
280.50,0.3
281.00,0.3
281.50,0.3
282.00,0.3
282.50,0.3
283.00,0.3
283.50,0.3
284.00,0.3
284.50,0.3
285.00,0.3
285.50,0.3
286.00,0.3
286.50,0.3
287.00,0.3
287.50,0.3
288.00,0.2
288.50,0.2
289.00,0.2
289.50,0.2
290.00,0.2
290.50,0.2
291.00,0.2
291.50,0.2
292.00,0.2
292.50,0.2
293.00,0.2
293.50,0.2
294.00,0.2
294.50,0.2
295.00,0.2
295.50,0.2
296.00,0.2
296.50,0.2
297.00,0.2
297.50,0.2
298.00,0.2
298.50,0.2
299.00,0.2
299.50,0.2
300.00,0.2
300.50,0.2
301.00,0.2
301.50,0.2
302.00,0.2
302.50,0.2
303.00,0.2
303.50,0.2
304.00,0.2
