"B2 - RawData"
"≤®≥§(nm)","Œ¸ ’÷µ"
200.00,0.4
200.50,0.4
201.00,0.4
201.50,0.4
202.00,0.4
202.50,0.4
203.00,0.4
203.50,0.4
204.00,0.4
204.50,0.4
205.00,0.4
205.50,0.4
206.00,0.4
206.50,0.4
207.00,0.4
207.50,0.4
208.00,0.4
208.50,0.4
209.00,0.4
209.50,0.3
210.00,0.3
210.50,0.3
211.00,0.3
211.50,0.3
212.00,0.3
212.50,0.3
213.00,0.3
213.50,0.3
214.00,0.3
214.50,0.3
215.00,0.3
215.50,0.3
216.00,0.3
216.50,0.2
217.00,0.2
217.50,0.2
218.00,0.2
218.50,0.2
219.00,0.2
219.50,0.2
220.00,0.2
220.50,0.2
221.00,0.2
221.50,0.2
222.00,0.2
222.50,0.2
223.00,0.2
223.50,0.2
224.00,0.2
224.50,0.2
225.00,0.2
225.50,0.2
226.00,0.2
226.50,0.2
227.00,0.2
227.50,0.2
228.00,0.2
228.50,0.2
229.00,0.2
229.50,0.2
230.00,0.2
230.50,0.2
231.00,0.2
231.50,0.2
232.00,0.2
232.50,0.2
233.00,0.2
233.50,0.2
234.00,0.2
234.50,0.2
235.00,0.2
235.50,0.3
236.00,0.3
236.50,0.3
237.00,0.3
237.50,0.3
238.00,0.3
238.50,0.3
239.00,0.3
239.50,0.3
240.00,0.3
240.50,0.3
241.00,0.3
241.50,0.3
242.00,0.3
242.50,0.3
243.00,0.3
243.50,0.3
244.00,0.3
244.50,0.3
245.00,0.3
245.50,0.3
246.00,0.4
246.50,0.4
247.00,0.4
247.50,0.4
248.00,0.4
248.50,0.4
249.00,0.4
249.50,0.4
250.00,0.4
250.50,0.4
251.00,0.4
251.50,0.5
252.00,0.5
252.50,0.5
253.00,0.5
253.50,0.5
254.00,0.5
254.50,0.5
255.00,0.6
255.50,0.6
256.00,0.6
256.50,0.6
257.00,0.6
257.50,0.6
258.00,0.6
258.50,0.6
259.00,0.6
259.50,0.7
260.00,0.7
260.50,0.7
261.00,0.7
261.50,0.7
262.00,0.8
262.50,0.8
263.00,0.8
263.50,0.8
264.00,0.9
264.50,0.9
265.00,0.9
265.50,0.9
266.00,0.9
266.50,0.9
267.00,0.9
267.50,0.9
268.00,0.9
268.50,0.9
269.00,0.9
269.50,0.9
270.00,0.9
270.50,1.0
271.00,1.0
271.50,1.0
272.00,1.0
272.50,1.0
273.00,1.1
273.50,1.1
274.00,1.1
274.50,1.1
275.00,1.1
275.50,1.2
276.00,1.2
276.50,1.2
277.00,1.2
277.50,1.2
278.00,1.1
278.50,1.1
279.00,1.1
279.50,1.1
280.00,1.0
280.50,1.0
281.00,1.0
281.50,1.0
282.00,0.9
282.50,0.9
283.00,0.9
283.50,0.9
284.00,0.9
284.50,0.9
285.00,0.9
285.50,0.9
286.00,0.9
286.50,0.9
287.00,0.9
287.50,0.9
288.00,0.9
288.50,0.9
289.00,0.9
289.50,0.9
290.00,0.9
290.50,0.8
291.00,0.8
291.50,0.7
292.00,0.7
292.50,0.7
293.00,0.6
293.50,0.6
294.00,0.5
294.50,0.5
295.00,0.4
295.50,0.4
296.00,0.4
296.50,0.3
297.00,0.3
297.50,0.3
298.00,0.2
298.50,0.2
299.00,0.2
299.50,0.2
300.00,0.2
300.50,0.1
301.00,0.1
301.50,0.1
302.00,0.1
302.50,0.1
303.00,0.1
303.50,0.1
304.00,0.1
304.50,0.1
305.00,0.1
305.50,0.1
306.00,0.1
306.50,0.1
307.00,0.1
307.50,0.1
308.00,0.1
308.50,0.1
309.00,0.1
309.50,0.1
310.00,0.1
310.50,0.1
311.00,0.1
311.50,0.1
312.00,0.1
312.50,0.1
313.00,0.1
313.50,0.1
314.00,0.1
314.50,0.1
315.00,0.1
315.50,0.1
316.00,0.1
316.50,0.1
317.00,0.1
317.50,0.1
318.00,0.1
318.50,0.1
319.00,0.1
319.50,0.1
320.00,0.1
320.50,0.1
321.00,0.1
321.50,0.1
322.00,0.1
322.50,0.1
323.00,0.1
323.50,0.1
324.00,0.1
324.50,0.1
325.00,0.1
325.50,0.1
326.00,0.1
326.50,0.1
327.00,0.1
327.50,0.1
328.00,0.1
328.50,0.1
329.00,0.1
329.50,0.1
330.00,0.1
330.50,0.1
331.00,0.1
331.50,0.1
332.00,0.1
332.50,0.1
333.00,0.1
333.50,0.1
334.00,0.1
334.50,0.1
335.00,0.1
335.50,0.1
336.00,0.1
336.50,0.1
337.00,0.1
337.50,0.1
338.00,0.1
338.50,0.1
339.00,0.1
339.50,0.1
340.00,0.1
340.50,0.1
341.00,0.1
341.50,0.1
342.00,0.1
342.50,0.1
343.00,0.1
343.50,0.1
344.00,0.1
344.50,0.1
345.00,0.1
345.50,0.1
346.00,0.1
346.50,0.1
347.00,0.1
347.50,0.1
348.00,0.1
348.50,0.1
349.00,0.1
349.50,0.1
350.00,0.1
350.50,0.1
351.00,0.1
351.50,0.1
352.00,0.1
352.50,0.1
353.00,0.1
353.50,0.1
354.00,0.1
354.50,0.1
355.00,0.1
355.50,0.1
356.00,0.1
356.50,0.1
357.00,0.1
357.50,0.1
358.00,0.1
358.50,0.1
359.00,0.1
359.50,0.1
360.00,0.0
360.50,0.1
361.00,0.1
361.50,0.1
362.00,0.1
362.50,0.1
363.00,0.1
363.50,0.1
364.00,0.1
364.50,0.0
365.00,0.0
365.50,0.0
366.00,0.0
366.50,0.0
367.00,0.0
367.50,0.0
368.00,0.0
368.50,0.0
369.00,0.0
369.50,0.0
370.00,0.0
370.50,0.0
371.00,0.0
371.50,0.0
372.00,0.0
372.50,0.0
373.00,0.0
373.50,0.0
374.00,0.0
374.50,0.0
375.00,0.0
375.50,0.0
376.00,0.0
376.50,0.0
377.00,0.0
377.50,0.0
378.00,0.0
378.50,0.0
379.00,0.0
379.50,0.0
380.00,0.0
380.50,0.0
381.00,0.0
381.50,0.0
382.00,0.0
382.50,0.0
383.00,0.0
383.50,0.0
384.00,0.0
384.50,0.0
385.00,0.0
385.50,0.0
386.00,0.0
386.50,0.0
387.00,0.0
387.50,0.0
388.00,0.0
388.50,0.0
389.00,0.0
389.50,0.0
390.00,0.0
390.50,0.0
391.00,0.0
391.50,0.0
392.00,0.0
392.50,0.0
393.00,0.0
393.50,0.0
394.00,0.0
394.50,0.0
395.00,0.0
395.50,0.0
396.00,0.0
396.50,0.0
397.00,0.0
397.50,0.0
398.00,0.0
398.50,0.0
399.00,0.0
399.50,0.0
400.00,0.0
400.50,0.0
401.00,0.0
401.50,0.0
